@relation standardNominalData

@attribute checking_status {'<0', '>=200', '0<=X<200', 'no checking'}
@attribute credit_history {'all paid', 'critical/other existing credit', 'delayed previously', 'existing paid', 'no credits/all paid'}
@attribute purpose {'domestic appliance', 'new car', 'used car', business, education, furniture/equipment, other, radio/tv, repairs, retraining}
@attribute credit_amount {'<1000', '<5000', '<10000', '<100000', '>=100000'}
@attribute saving_status {'<100', '>=1000', '100<=X<500', '500<=X<1000', 'no known savings'}
@attribute employment {'<1', '>=7', '1<=X<4', '4<=X<7', unemployed}
@attribute personal_status {'female div/sep/mar', 'male div/sep', 'male mar/wid', 'male single'}
@attribute age {'child', 'young adult', 'adult', 'senior'}
@attribute job {'high qualif/self emp/mgmt', 'unemp/unskilled non res', 'unskilled resident', skilled}
@attribute class {good, bad}

@data
'<0','critical/other existing credit',radio/tv,<5000,'no known savings','>=7','male single',senior,skilled,good
'0<=X<200','existing paid',radio/tv,<10000,'<100','1<=X<4','female div/sep/mar',adult,skilled,bad
'no checking','critical/other existing credit',education,<5000,'<100','4<=X<7','male single',adult,'unskilled resident',good
'<0','existing paid',furniture/equipment,<10000,'<100','4<=X<7','male single',adult,skilled,good
'<0','delayed previously','new car',<5000,'<100','1<=X<4','male single',adult,skilled,bad
'no checking','existing paid',education,<10000,'no known savings','1<=X<4','male single',adult,'unskilled resident',good
'no checking','existing paid',furniture/equipment,<5000,'500<=X<1000','>=7','male single',adult,skilled,good
'0<=X<200','existing paid','used car',<10000,'<100','1<=X<4','male single',adult,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,<5000,'>=1000','4<=X<7','male div/sep',senior,'unskilled resident',good
'0<=X<200','critical/other existing credit','new car',<10000,'<100',unemployed,'male mar/wid',adult,'high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','new car',<5000,'<100','<1','female div/sep/mar',adult,skilled,bad
'<0','existing paid',business,<5000,'<100','<1','female div/sep/mar',adult,skilled,bad
'0<=X<200','existing paid',radio/tv,<5000,'<100','1<=X<4','female div/sep/mar',adult,skilled,good
